Sequence,Volt,Start,Increment
565,8.60000e+00,,
566,7.80000e+00,,
567,8.60000e+00,,
568,7.80000e+00,,
569,8.60000e+00,,
570,8.60000e+00,,
571,4.00000e-01,,
572,4.00000e-01,,
573,8.40000e+00,,
574,7.80000e+00,,
575,8.60000e+00,,
576,8.60000e+00,,
577,7.80000e+00,,
578,7.80000e+00,,
579,8.60000e+00,,
580,7.80000e+00,,
581,8.60000e+00,,
582,7.80000e+00,,
583,8.60000e+00,,
584,7.80000e+00,,
585,8.60000e+00,,
586,8.60000e+00,,
587,7.80000e+00,,
588,7.80000e+00,,
589,8.60000e+00,,
590,7.80000e+00,,
591,8.60000e+00,,
592,7.80000e+00,,
593,8.60000e+00,,
594,7.80000e+00,,
595,8.60000e+00,,
596,7.80000e+00,,
597,8.60000e+00,,
598,7.80000e+00,,
599,8.60000e+00,,
600,8.60000e+00,,
601,4.00000e-01,,
602,4.00000e-01,,
603,1.20000e+00,,
604,4.00000e-01,,
605,8.80000e+00,,
606,7.80000e+00,,
607,8.60000e+00,,
608,7.80000e+00,,
609,8.60000e+00,,
610,8.60000e+00,,
611,7.80000e+00,,
612,7.80000e+00,,
613,8.60000e+00,,
614,7.80000e+00,,
615,8.60000e+00,,
616,7.80000e+00,,
617,8.60000e+00,,
618,7.80000e+00,,
619,8.60000e+00,,
620,7.80000e+00,,
621,8.60000e+00,,
622,7.80000e+00,,
623,8.60000e+00,,
624,7.80000e+00,,
625,8.60000e+00,,
626,7.80000e+00,,
627,8.60000e+00,,
628,7.80000e+00,,
629,8.60000e+00,,
630,7.80000e+00,,
631,8.80000e+00,,
632,8.40000e+00,,
633,4.00000e-01,,
634,4.00000e-01,,
635,8.40000e+00,,
636,7.80000e+00,,
637,8.60000e+00,,
638,7.80000e+00,,
639,8.60000e+00,,
640,7.80000e+00,,
641,8.60000e+00,,
642,7.80000e+00,,
643,8.60000e+00,,
644,7.80000e+00,,
645,8.60000e+00,,
646,8.60000e+00,,
647,7.80000e+00,,
648,8.60000e+00,,
649,7.80000e+00,,
650,7.80000e+00,,
651,8.60000e+00,,
652,7.80000e+00,,
653,8.60000e+00,,
654,8.60000e+00,,
655,7.80000e+00,,
656,8.60000e+00,,
657,7.80000e+00,,
658,7.80000e+00,,
659,8.60000e+00,,
660,7.80000e+00,,
661,8.60000e+00,,
662,8.60000e+00,,
663,6.00000e-01,,
664,4.00000e-01,,
665,1.20000e+00,,
666,6.00000e-01,,
667,8.80000e+00,,
668,8.60000e+00,,
669,7.80000e+00,,
670,8.60000e+00,,
671,7.80000e+00,,
672,8.60000e+00,,
673,7.80000e+00,,
674,8.60000e+00,,
675,7.80000e+00,,
676,7.80000e+00,,
677,8.60000e+00,,
678,8.60000e+00,,
679,7.80000e+00,,
680,8.60000e+00,,
681,7.80000e+00,,
682,8.60000e+00,,
683,7.80000e+00,,
684,7.80000e+00,,
685,8.60000e+00,,
686,8.60000e+00,,
687,7.80000e+00,,
688,7.80000e+00,,
689,8.60000e+00,,
690,7.80000e+00,,
691,8.60000e+00,,
692,7.80000e+00,,
693,8.60000e+00,,
694,8.40000e+00,,
695,4.00000e-01,,
696,4.00000e-01,,
697,8.60000e+00,,
698,7.80000e+00,,
699,8.60000e+00,,
700,7.80000e+00,,
701,8.60000e+00,,
702,7.80000e+00,,
703,8.60000e+00,,
704,7.80000e+00,,
705,8.60000e+00,,
706,7.80000e+00,,
707,8.60000e+00,,
708,7.80000e+00,,
709,8.60000e+00,,
710,7.80000e+00,,
711,8.60000e+00,,
712,7.80000e+00,,
713,8.60000e+00,,
714,8.60000e+00,,
715,7.80000e+00,,
716,7.80000e+00,,
717,8.60000e+00,,
718,8.60000e+00,,
719,7.80000e+00,,
720,7.80000e+00,,
721,8.60000e+00,,
722,7.80000e+00,,
723,8.60000e+00,,
724,8.60000e+00,,
725,4.00000e-01,,
726,4.00000e-01,,
727,1.20000e+00,,
728,6.00000e-01,,
729,8.60000e+00,,
730,7.80000e+00,,
731,8.60000e+00,,
732,7.80000e+00,,
733,8.60000e+00,,
734,7.80000e+00,,
735,8.60000e+00,,
736,7.80000e+00,,
737,8.60000e+00,,
738,7.80000e+00,,
739,8.60000e+00,,
740,8.60000e+00,,
741,7.80000e+00,,
742,8.60000e+00,,
743,7.80000e+00,,
744,8.60000e+00,,
745,7.80000e+00,,
746,7.80000e+00,,
747,8.60000e+00,,
748,8.60000e+00,,
749,7.80000e+00,,
750,8.60000e+00,,
751,7.80000e+00,,
752,8.60000e+00,,
753,7.80000e+00,,
754,7.80000e+00,,
755,8.60000e+00,,
756,8.20000e+00,,
757,4.00000e-01,,
758,4.00000e-01,,
759,8.60000e+00,,
760,7.80000e+00,,
761,8.60000e+00,,
